trial,choice_arm_index,choice_planet_label,is_optimal,exploration,intent,intent_reason,explanation,context_mercury,context_krypton,context_nobelium,reward_received,w_intercept_arm_0,w_mercury_arm_0,w_krypton_arm_0,w_nobelium_arm_0,w_intercept_arm_1,w_mercury_arm_1,w_krypton_arm_1,w_nobelium_arm_1,w_intercept_arm_2,w_mercury_arm_2,w_krypton_arm_2,w_nobelium_arm_2,w_intercept_arm_3,w_mercury_arm_3,w_krypton_arm_3,w_nobelium_arm_3,feature_uncertainty_mercury_arm_0,feature_uncertainty_krypton_arm_0,feature_uncertainty_nobelium_arm_0,feature_uncertainty_mercury_arm_1,feature_uncertainty_krypton_arm_1,feature_uncertainty_nobelium_arm_1,feature_uncertainty_mercury_arm_2,feature_uncertainty_krypton_arm_2,feature_uncertainty_nobelium_arm_2,feature_uncertainty_mercury_arm_3,feature_uncertainty_krypton_arm_3,feature_uncertainty_nobelium_arm_3,mapping_arm_0,mapping_arm_1,mapping_arm_2,mapping_arm_3,agent_mu_arm_0,agent_sigma_arm_0,agent_mu_arm_1,agent_sigma_arm_1,agent_mu_arm_2,agent_sigma_arm_2,agent_mu_arm_3,agent_sigma_arm_3,simulation_id,agent_name,reg,k
1,0,D,0,1,explore,learn how each signal affects this planet,"Exploring Planet 1 to learn how each signal affects this planet: Mercury on, Krypton on, Nobelium off.",1,1,-1,53,10.600000000000001,10.600000000000001,10.600000000000001,-10.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
2,0,D,0,1,explore,learn how each signal affects this planet,"Exploring Planet 1 to learn how each signal affects this planet: Mercury off, Krypton on, Nobelium on.",-1,1,1,53,21.200000000000003,0.0,21.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
3,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+0.0), Krypton on (+21.2), Nobelium off (+0.0).",-1,1,-1,52,21.764705882352963,-2.82352941176471,21.764705882352963,-2.82352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,42.400000000000006,1.5491933384829668,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
4,0,D,0,1,explore,learn how each signal affects this planet,"Exploring Planet 1 to learn how each signal affects this planet: Mercury off, Krypton off, Nobelium on.",-1,-1,1,50,36.47058823529413,-5.764705882352942,7.058823529411783,0.11764705882352189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3058823529411766,0.5882352941176472,0.3058823529411766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,0.0,1.5491933384829668,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
5,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+5.8), Krypton on (+7.1), Nobelium on (+0.1).",-1,1,1,61,36.87018255578093,-6.164300202839755,9.056795131845853,2.1156186612575887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882365,0.29411764705882354,0.29411764705882365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,49.411764705882376,0.8401680504168061,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
6,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+6.2), Krypton on (+9.1), Nobelium on (+2.1).",-1,1,1,46,36.67001434720231,-5.964131994261123,8.055954088952664,1.1147776183644034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2920892494929007,0.24340770791075045,0.24340770791075061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,54.20689655172413,0.6432675209026769,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
7,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+6.0), Krypton on (+8.1), Nobelium off (-1.1).",-1,1,-1,40,36.37002540220152,-4.334462320067743,7.885690093141413,2.939034716342073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2912482065997132,0.22238163558106164,0.2223816355810618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,49.575322812051695,0.8333094209864275,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
8,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+4.3), Krypton on (+7.9), Nobelium off (-2.9).",-1,1,-1,42,36.2888888888889,-3.8936936936936988,7.839639639639648,3.43243243243243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24216765453005934,0.22184589331075355,0.16088060965283663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,45.651143099068605,0.6401735581772582,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
9,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+3.9), Krypton on (+7.8), Nobelium off (-3.4).",-1,1,-1,41,36.22708236389019,-3.5579339227547564,7.8045602605863245,3.8082829222894343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22162162162162166,0.22162162162162158,0.13513513513513514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,44.58978978978982,0.5391573895354591,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
10,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+3.6), Krypton off (-7.8), Nobelium on (+3.8).",-1,-1,1,48,38.30980499862675,-3.9637462235649537,5.480362537764356,3.9994507003570448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21033038622615174,0.22149837133550485,0.12098650535132621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,35.788738948348055,0.8332325051457464,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
